err_sentence,cor_sentence,error_point,error_type
구체적인 대상 즉 장면 하나하나가 곳 추상적인이미를 형성하는것이다.,구체적인 대상 즉 장면 하나하나가 곧 추상적인 의미를 형성하는 것이다.,,
그런 설정 정도는 바뀔 수 있으니 열어노구 생각하시지요,그런 설정 정도는 바뀔 수 있으니 열어 놓고 생각하시지요.,,
분명히 강의를 다듣고이해햇는디도 표자체를해석을못하겠습니다.,분명히 강의를 다 듣고 이해했는데도 표 자체를 해석을 못하겠습니다.,,
이부분은 교제에없는부분인가요?,이 부분은 교재에 없는 부분인가요?,,
이부분이 이해가잘안되요.,이 부분이 이해가 잘 안돼요.,,
강이 듣구 풀었는데 한번 더 풀고 강의 듣고싶은데 파일로 받을수있을까요?,강의 듣고 풀었는데 한 번 더 풀고 강의 듣고 싶은데 파일로 받을 수 있을까요?,,
그럿다면 어떡해 고쳐야 맞는선지가됄까요?,그렇다면 어떻게 고쳐야 맞는 선지가 될까요?,,
선생님 풀이와는 초큼다르게 닮음 활용해 풀이하였는데제풀이도맞는지 궁금합니다.,선생님 풀이와는 조금 다르게 닮음 활용해 풀이하였는데 제 풀이도 맞는지 궁금합니다.,,
포인터는 처음보면 절대 이해 못하는 거라 집단이 없을텐대요,포인터는 처음 보면 절대 이해 못 하는 거라 집단이 없을 텐데요.,,
꾸주니 노력해서 성적향상을 꼬옥이루길바래요,꾸준히 노력해서 성적 향상을 꼭 이루길 바라요!,,
보는것이 맞지안을가요.,보는 것이 맞지 않을까요.,,
자결하겠다고 별 유난은 다떨어놓고 결국 두개 못햇지만...,자결하겠다고 별 유난은 다 떨어놓고 결국 두 개 못 했지만...,,
문재를 푸는데 헷갈리니요.,문제를 푸는데 헷갈리네요.,,
기츨 븐석은 언재쯤 완강을 목표으로 잡으면될가요?,기출 분석은 언제쯤 완강을 목표로 잡으면 될까요?,,
독서실이 더 자극될거 갇아요!,독서실이 더 자극될 거 같아요!,,
배우랴면 대학을 다시 가야되니가 참 어렵다.,배우려면 대학을 다시 가야 되니까 참 어렵다.,,
아날로그 디지털 혼성 집적회로 설계 이쪽인거 같은데 일단 가서 공부부터 좀 열심히 해봐야겟다,"아날로그와 디지털 혼성 집적회로 설계 이쪽인 거 같은데, 일단 가서 공부부터 좀 열심히 해봐야겠다.",,
갑자기내려가는이유가 납득이안되요.,갑자기 내려가는 이유가 납득이 안돼요.,,
임용고시가중요하기때문에 학점은 크게 중요하지않씁니다!,임용고시가 중요하기 때문에 학점은 크게 중요하지 않습니다!,,
비슷한 다른 교재 쓰셔도 되고요,비슷한 다른 교재 쓰셔도 되고요.,,
전파는 되었지만 별 영향력을 행사하지못하구 사라지거나 무시돼는건가요?,전파는 되었지만 별 영향력을 행사하지 못하고 사라지거나 무시되는 건가요?,,
마스터님 복습할 떄 전에 풀었던거랑 필기한걸 보고 다시 풀어보는건거요,마스터님 복습할 때 전에 풀었던 거랑 필기한 걸 보고 다시 풀어보는 건가요?,,
모든 선지에 근거를 다는게 중요합니다!,모든 선지에 근거를 다는 게 중요합니다!,,
이런 현실적인 말들과조언 넘무좋아욥,이런 현실적인 말들과 조언 너무 좋아요.,,
선생님이말씀하시는 풀이가머죠.,선생님이 말씀하시는 풀이가 뭐죠.,,
영어 단어를 분명 아는대 독해 하는걸 귀찮아해서 난관에 봉착햇읍니다.,영어 단어를 분명 아는데 독해하는 걸 귀찮아해서 난관에 봉착했습니다.,,
해당부분을 찾는시간이마니걸린다.,해당 부분을 찾는 시간이 많이 걸린다.,,
글구 내신 잘 챙거요,그리고 내신 잘 챙겨요.,,
물론 선배님의 조언도 많이 도움 되어써요!,물론 선배님의 조언도 많이 도움 되었어요!,,
하시는데어떠케 알수있죠?,하시는데 어떻게 알 수 있죠?,,
앞으로도 자작문제 많이 부탁드립니다!,앞으로도 자작 문제 많이 부탁드립니다!,,
한지믄마다 평가원 분석하듯이해야하저요,한 지문마다 평가원 분석하듯이 해야 하나요?,,
잘 안맞는데 꾸역꾸역 듣고있는 느낌입니다,잘 안 맞는데 꾸역꾸역 듣고 있는 느낌입니다.,,
커피한잔 아니고 커피 한 잔입니다,커피 한잔 아니고 커피 한 잔입니다.,,
그니까 자기 닉네임적은것도 같이 올려야지,그니까 자기 닉네임적은 것도 같이 올려야지!,,
초등교사 사이트는 돼게 폐쇄적이구 중등교사는 저런 통일된 사이트는 없는걸로 알아.,초등 교사 사이트는 되게 폐쇄적이고 중등교사는 저런 통일된 사이트는 없는 걸로 알아.,,
"부끄럽지만, 녹화도 한 김에! 저에게 저작권이 있는 발표이므로! 공유를 해봄니다","부끄럽지만, 녹화도 한 김에 저에게 저작권이 있는 발표이므로 공유를 해봅니다.",,
지금은 금지됀 책도보이니요,지금은 금지된 책도 보이네요.,,
객관적기준은 없구 상대적기준은있다.,객관적 기준은 없고 상대적 기준은 있다.,,
가볍게 읽다가 작가가 하고싶은 말을 대놓고 드러내는 경우가 많씁니다.,가볍게 읽다가 작가가 하고 싶은 말을 대놓고 드러내는 경우가 많습니다.,,
저번의 답변에서 이해가안가는부분이 딱 하나가잇습니다.,저번의 답변에서 이해가 안 가는 부분이 딱 하나가 있습니다.,,
덕이 잇는 사람은 반드시 바른 말을 하지만 바른 말을 한다구 반드시 덕이 잇는 사람은 아니라는 뜻이다.,덕이 있는 사람은 반드시 바른 말을 하지만 바른 말을 한다고 반드시 덕이 있는 사람은 아니라는 뜻이다.,,
뭐 자네말데으로 대형주들은 소폭 떨어졌구먼,뭐 자네 말대로 대형주들은 소폭 떨어졌구먼.,,
저는 점수가 꽤 남게 넣은거다.,저는 점수가 꽤 남게 넣은 거다.,,
자습을 하는게 가장 좋긴 했지만 그럴 수 없다면 이런 수업들은 열심히 듣는 것도 좋습나다,자습을 하는 게 가장 좋긴 했지만 그럴 수 없다면 이런 수업 들은 열심히 듣는 것도 좋습니다.,,
저는 풀릴떄까지 도전했던거 같아요.,저는 풀릴 때까지 도전했던 거 같아요.,,
혹은일치하니 평행하지안다고...,혹은 일치하니 평행하지 않다고...,,
인코딩을 잘못하면 저래되나,인코딩을 잘못하면 저래 되나.,,
현실적으로 불가능 하다고 하네요...,현실적으로 불가능하다고 하네요...,,
다른 강사님들도 오셔서 한 말씀하시고 가무시면 감사하겠습나다,다른 강사님들도 오셔서 한 말씀하시고 가주시면 감사하겠습니다.,,
"그럼이전엔 하나였다는건데, 대체 뭐가 통합됐다가 분열되는건가여?","그럼 이전엔 하나였다는 건데, 대체 뭐가 통합됐다가 분열되는 건가요?",,
관리자가 이거조차도 안 볼 수 있으니 정식으로도 건의하겟씁니다,관리자가 이거조차도 안 볼 수 있으니 정식으로도 건의하겠습니다.,,
모르는문제 강의 들은거 같아요!,모르는 문제 강의 들은 것 같아요!,,
꼭 들어야할것을 완강이 빨리 돼면 그것도 좋은 현상이지 않을까요?,꼭 들어야 할 것을 완강이 빨리 되면 그것도 좋은 현상이지 않을까요?,,
아님 다시 생각해내시는 건거요?,아님 다시 생각해 내시는 건가요?,,
언니 구마워오늘은안햇어,언니 고마워 오늘은 안 했어!,,
그래서전자의방법으로 문재를 풀면 틀리고 후자의방법으로 문재를 풀면 맞습니다.,그래서 전자의 방법으로 문제를 풀면 틀리고 후자의 방법으로 문제를 풀면 맞습니다.,,
이번모의고사에서두 나머지 문제 다 쉬웟잔음.,이번 모의고사에서도 나머지 문제 다 쉬웠잖음.,,
아니면 쉬운게 조타고 생각하시나요?,아니면 쉬운 게 좋다고 생각하시나요?,,
독서 기출 분석을 대체 어떻게하라는건지 감이 하나도 안 오는데 굳이 해야할까요?,독서 기출 분석을 대체 어떻게 하라는 건지 감이 하나도 안 오는데 굳이 해야 할까요?,,
"정말 중요한 문재는 다 듣되, 그 외는 굳이 안들으셔도 됩니다","정말 중요한 문제는 다 듣되, 그 외는 굳이 안 들으셔도 됩니다.",,
포스트잇에 써서 붙이는게 나을거같아요,포스트잇에 써서 붙이는 게 나을 거 같아요.,,
예도함께 들어주신다면 감사하겟읍니다.,예도 함께 들어주신다면 감사하겠습니다.,,
잠깐 쓰레기 버리러 갔다온거라구요!,잠깐 쓰레기 버리러 갔다 온 거라고요!,,
내신기간얼마나 잡구 공부하셧나요?,내신기간 얼마나 잡고 공부하셨나요?,,
전 이 글 안에서 이미 사과함,전 이 글 안에서 이미 사과함.,,
그거 염두에 둔건 맞습니다,그걸 염두에 둔 건 맞습니다.,,
외 갚자기 러시아와 일본이나눠서관할을하게된거이죠?,왜 갑자기 러시아와 일본이 나눠서 관할을 하게 된 것이죠?,,
절대정신인 예술은이념을 인식한다구했습니다,절대정신인 예술은 이념을 인식한다고 했습니다.,,
양 끗의 두 값 중 하나가 최대인거은 어떡케 알져?,양 끝의 두 값 중 하나가 최대인 것은 어떻게 알죠?,,
히다보면 다들 늘더라구요,하다 보면 다들 늘더라고요.,,
그칼럼에 대한 적절한 언급은 아니였어요,그 칼럼에 대한 적절한 언급은 아니었어요.,,
동영상하나틀어주고햇다고한다.,동영상 하나 틀어주고 했다고 한다.,,
수학이나 과학가튼 과목이 더 많나요?,수학이나 과학 같은 과목이 더 많나요?,,
지금 다시읽어보니까 너무 쉬움,지금 다시 읽어보니까 너무 쉬움.,,
생각해서그렇게 문재를 풀었더니 틀렸내요.,생각해서 그렇게 문제를 풀었더니 틀렸네요.,,
작년 한해동안 넘 고생하셨어요,작년 한해 동안 너무 고생하셨어요.,,
각자 갖고싶은게 있는거지만 전 거북이가 갖고싶네요.,각자 갖고 싶은 게 있는 거지만 전 거북이가 갖고 싶네요.,,
혼자 작업하니 니무저 평화롭구 편해.,혼자 작업하니 너무나 평화롭고 편해.,,
수능떄까지 이 점수 쭉 유지하구 싶네요.,수능 때까지 이 점수 쭉 유지하고 싶네요.,,
믄재풀때 저런 발상이들지도않았습니다.,문제 풀 때 저런 발상이 들지도 않았습니다.,,
"넘무기초적인질문인것가타서 부끄러운데,, 오직 한점에서 만난다고했을때 그때의 두 함수의접선의 기울기가 갗다.","너무 기초적인 질문인 것 같아서 부끄러운데,, 오직 한 점에서 만난다고 했을 때 그때의 두 함수의 접선의 기울기가 같다.",,
가장 지금이어떤 시기인지 일깨워주는 칼럼이니요.,가장 지금이 어떤 시기인지 일깨워주는 칼럼이네요.,,
믄학은지믄을 빡세게 븐석라는것은 이미가별로없어요,문학은 지문을 빡세게 분석하는 것은 의미가 별로 없어요.,,
물론 내가 확인되지 않은 사실을 말했던건 맞는데요,물론 내가 확인되지 않은 사실을 말했던 건 맞는데요.,,
또 둘의 관계가 종속적이라는거이정확히 무엇을 의미하는지도 궁금함니다.,또 둘의 관계가 종속적이라는 것이 정확히 무엇을 의미하는지도 궁금합니다.,,
과탐노트기본정리는 햇습니다.,과탐 노트 기본 정리는 했습니다.,,
내년에 또 해주신다면 그땐 한국지리도 배울터이니 백점 노려볼께요,내년에 또 해주신다면 그땐 한국지리도 배울 터이니 백 점 노려볼게요.,,
커피 맛있게 드시구 열공하세요!,커피 맛있게 드시고 열공하세요!,,
자료도 쫌 업그레이드 햇습니다!,자료도 좀 업그레이드했습니다!,,
암튼 마스터님도 항상 화이팅하세요!!,암튼 마스터님도 항상 파이팅 하세요!!,,
사진 보니까 내부는 다들 똑같더라구요,사진 보니까 내부는 다들 똑같더라고요.,,
어느정두체계를 갖춘 조직이기에 회의도하는것 아닌가여?,어느 정도 체계를 갖춘 조직이기에 회의도 하는 것 아닌가요?,,
덕질은 어케 자제해야할까요,덕질은 어떻게 자제해야 할까요?,,
요즘 경제학가튼 책들을 보는데 시간낭지 일까요,요즘 경제학 같은 책들을 보는데 시간 낭비일까요?,,
최저가 노픈편이니 확실하게 준비하세요,최저가 높은 편이니 확실하게 준비하세요!,,
풀이 쓰는대 시간이 많이 소요되는 문제였음에도 친절하게 답변해주셔서 감사합니다,풀이 쓰는데 시간이 많이 소요되는 문제였음에도 친절하게 답변해 주셔서 감사합니다.,,
혼자 고민하구 틀리구 답지보구 다시 풀구 이렇게만 하는게 맞나요?,혼자 고민하고 틀리고 답지 보고 다시 풀고 이렇게만 하는 게 맞나요?,,
알아야할내용 없져.,알아야 할 내용 없죠.,,
시간이아까운 줄도몰구 펑펑 쓰던 저를 반성하게되엇습니다.,시간이 아까운 줄도 모르고 펑펑 쓰던 저를 반성하게 되었습니다.,,
우린자유와 평등을 실현하기위해 싸웠다.,우리는 자유와 평등을 실현하기 위해 싸웠다.,,
재한적 전지적 작가의시점이라구말할수없는건가요?,제한적 전지적 작가의 시점이라고 말할 수 없는 건가요?,,
그냥 문재니까 풀어본다생각만한다.,그냥 문제니까 풀어본다 생각만 한다.,,
준히 버텨나가는게 진짜 핵심인거같아요.,꾸준히 버텨나가는 게 진짜 핵심인 거 같아요.,,
그니까걍 복합체가 딸려간다는말이죠...?,그니까 그냥 복합체가 딸려간다는 말이죠...?,,
이해를 요규할떄도 있따는걸 깨달아씁니다.,이해를 요구할 때도 있다는 걸 깨달았습니다.,,
가끔 수강신청 서버가 터진다,가끔 수강신청 서버가 터진다.,,
스리 논술이많이어렵저요,수리 논술이 많이 어렵나요?,,
재가서울에서공부하다가 급하게 코로나로인해 지방으로내려와 답지를 놓고왔어요.,제가 서울에서 공부하다가 급하게 코로나로 인해 지방으로 내려와 답지를 놓고 왔어요.,,
"방정식에는 매개 변수가 있기 떄문에 이상 기체 상태 방정식을 사용한 이상기체와 부피, 압력을 비교할 때 주의해야합니다.","방정식에는 매개 변수가 있기 때문에 이상 기체 상태 방정식을 사용한 이상기체와 부피, 압력을 비교할 때 주의해야 합니다.",,
교재에 간혹 출처가 적혀 잇지안은문제들은 교육청기출들인가요?,교재에 간혹 출처가 적혀 있지 않은 문제들은 교육청 기출들인가요?,,
드뎌 다시 만화를 보네요,드디어 다시 만화를 보네요.,,
선생님이올려주시는강의 외에다른 기출문재집을 별도로 사서풀려구하늕데이런 방법도 갠찬나요?,선생님이 올려주시는 강의 외에 다른 기출문제집을 별도로 사서 풀려고 하는데 이런 방법도 괜찮나요?,,
오늘 시작해강이를 완강헷습니다.,오늘 시작해 강의를 완강했습니다.,,
제 수능성적 반영 되는게 가장 유리햇어요,제 수능 성적 반영되는 게 가장 유리했어요.,,
변호사도 실명이랑 얼굴이다 공개됐던데요.,변호사도 실명이랑 얼굴이 다 공개됐던데요.,,
조은 학습조언 감사해요?,좋은 학습 조언 감사해요.,,
예를들어사랑은과학적으로 검증이불가능한거을 떠올렸습니다.,예를 들어 사랑은 과학적으로 검증이 불가능한 것을 떠올렸습니다.,,
손실 회피성의영향을 받지않았다는거에는동의할수없습니다.,손실 회피성의 영향을 받지 않았다는 것에는 동의할 수 없습니다.,,
진화론은사회가계속해서 진보하고 발전하고있따고...,진화론은 사회가 계속해서 진보하고 발전하고 있다고...,,
답지가 답만 써있는 것 바꼐 없다.,답지가 답만 쓰여있는 것 밖에 없다.,,
그래서 주변에 필요한사람들있으면해주려고.,그래서 주변에 필요한 사람들 있으면 해주려고.,,
점수가 올리기 어려운 과목인만큼 투자가 필요한 과목입니다.,점수를 올리기 어려운 과목인 만큼 투자가 필요한 과목입니다.,,
저 지금 마음이 너무 따숩다...,나 지금 마음이 너무 따숩다...,,
허용됀 범위를 벗어난 경우가있읍니다.,허용된 범위를 벗어난 경우가 있습니다.,,
힘이아예 작용하지안는경우는 없나요?,힘이 아예 작용하지 않는 경우는 없나요?,,
이된시점은 언재인가요?,이 된 시점은 언제인가요?,,
이런부분들은 쫌 아쉽니요...,이런 부분들은 좀 아쉽네요...,,
그냥 저데으로 정리만하면되는거잖아,그냥 저대로 정리만 하면 되는 거잖아.,,
근대 그걸보통 인간이 잡구있잖아...,근데 그걸 보통 인간이 잡고 있잖아...,,
"생각햇는디, 위와 같은문제의 조건을어떡케 이해해야할지모르겠습니다.","생각했는데, 위와 같은 문제의 조건을 어떻게 이해해야 할지 모르겠습니다.",,
이사례에대한 예시가있슬가요?,이 사례에 대한 예시가 있을까요?,,
요즘시엄성적이 넘무 낮습니다.,요즘 시험 성적이 너무 낮습니다.,,
이 정도 왔으면 자기행동에 책임지시고 해결하려고 노력하시죠,이 정도 왔으면 자기 행동에 책임지시고 해결하려고 노력하시죠.,,
두문서 구분하는데 유용한 팁이잇을까요?,두 문서 구분하는 데 유용한 팁이 있을까요?,,
글구해석이잘못됐거나 모르는단어등으로 틀린 경우에는 틀린 원인이된 문장을 학습하고 모르는단어는 따로정리함미다.,그리고 해석이 잘못됐거나 모르는 단어 등으로 틀린 경우에는 틀린 원인이 된 문장을 학습하고 모르는 단어는 따로 정리합니다.,,
중학생 병의청소년 봉사 단체는 외공식 조직인가요.,중학생 병의 청소년 봉사 단체는 왜 공식 조직인가요.,,
교육청 모의구사는정시로 의대는 갈수있는성적이었다.,교육청 모의고사는 정시로 의대는 갈 수 있는 성적이었다.,,
확실하게 계층이하강했거나 상승햇다고...,확실하게 계층이 하강했거나 상승했다고...,,
연계가되긴햇지만 없어도 풀리긴했습니다,연계가 되긴 했지만 없어도 풀리긴 했습니다!,,
믄재풀이로 넘어가서 선지판단을 연습해야한다구하셨는데요.,문제 풀이로 넘어가서 선지 판단을 연습해야 한다고 하셨는데요.,,
"강이에서말씀하셨고, 임의의 값이라는거은 연속적인 에너지 준위를가진다는거인데, 매우 빼곡히 에너지 준위가 겹치더라도 연속적일수는 없지앉나요?","강의에서 말씀하셨고, 임의의 값이라는 것은 연속적인 에너지 준위를 가진다는 것인데, 매우 빼곡히 에너지 준위가 겹치더라도 연속적일 수는 없지 않나요?",,
어떠케 구분해야할지모르겟어요.,어떻게 구분해야 할지 모르겠어요.,,
공부할때 질적연구와 양적연구 모두 인과관계의발견은 가능하다구...,공부할 때 질적 연구와 양적 연구 모두 인과 관계의 발견은 가능하다고...,,
마스타님말투 진찌 매력적임.,마스터님 말투 진짜 매력적임.,,
외냐하면 그외의 점에서는 파동이각자의방향으로 진행하니 말이죠.,왜냐하면 그 외의 점에서는 파동이 각자의 방향으로 진행하니 말이죠.,,
는소득 불평등정두와 같은 개념이라고생각할수없나요?,는 소득 불평등 정도와 같은 개념이라고 생각할 수 없나요?,,
고양이는 진리라 귀엽구 예뻐서 뭘 하든 기분이 좋아집니다,고양이는 진리라 귀엽고 예뻐서 뭘 하든 기분이 좋아집니다.,,
스시준비한 본인만의 노하우가 궁금함니다.,수시 준비한 본인만의 노하우가 궁금합니다.,,
문재에 안나온 세포의 특성까지 다 생각해보는겁니다,문제에 안 나온 세포의 특성까지 다 생각해 보는 겁니다.,,
졍리하고 나니깐 이제는 안했갈리겠다,정리하고 나니깐 이제는 안 헷갈리겠다.,,
저는 갑이사전에 동의를 얻지안어서그럿다구...,저는 갑이 사전에 동의를 얻지 않아서 그렇다고...,,
흐름이 바뀌는 곳에서 문제으로 가서 풀 수 있는 문제는 푸는게 좋을가요,흐름이 바뀌는 곳에서 문제로 가서 풀 수 있는 문제는 푸는 게 좋을까요?,,
재가 재대로 이해 한것인지 궁금함니다.,제가 제대로 이해 한 것인지 궁금합니다.,,
년도별로 묶인 경우에는 회독하기에는 적합하지 않습니디,연도별로 묶인 경우에는 회독하기에는 적합하지 않습니다.,,
구지 공개적인 곳에서 이럴 이유는 없잖아요,굳이 공개적인 곳에서 이럴 이유는 없잖아요.,,
한강쪽 뷰가 진짜 좋죠,한강 쪽 뷰가 진짜 좋죠.,,
뿌듯한날들이모여서 멋진성적을만들어낸다고생각함니다.,뿌듯한 날들이 모여서 멋진 성적을 만들어낸다고 생각합니다.,,
마음갇아선 지금부터 혼자 하고싶은데요,마음 같아선 지금부터 혼자 하고 싶은데요.,,
그러나 이거은 상식적으로 이해가되지않는부분입니다.,그러나 이것은 상식적으로 이해가 되지 않는 부분입니다.,,
한 달동안 문제풀이 강이 들으라구 하셔서 문제풀이강의 기다리고 있는데 도대체 언제 올려주실건지요,한 달 동안 문제풀이 강의를 들으라고 하셔서 문제풀이강의를 기다리고 있는데 도대체 언제 올려주실 건지요?,,
두 이동 구분이 햇갈리는데 명확하게 구분할 방법이있슬가요?,두 이동 구분이 헷갈리는데 명확하게 구분할 방법이 있을까요?,,
"수식 쓰기가어려워서, 사진으로 질문 첨부헷습니다.","수식 쓰기가 어려워서, 사진으로 질문 첨부했습니다.",,
강의랑 컨텐츠 추천드리고싶지만요,강의랑 콘텐츠 추천드리고 싶지만요.,,
문법공부 어떻개하셨나요?,문법 공부 어떻게 하셨나요?,,
모의구사는 괜찮게저오는데 개념에 자신감이없어서요,모의고사는 괜찮게 나오는데 개념에 자신감이 없어서요.,,
묵주반지라 잃어버려서 찝찝했는데다시 찾아서 올해 먼가 운이 괜찮은듯해.,묵주반지라 잃어버려서 찝찝했는데 다시 찾아서 올해 뭔가 운이 괜찮은 듯해.,,
나도 수능 잘보면 고양이 기를끄야,나도 수능 잘 보면 고양이 기를 거야.,,
혹시 기출외에 국어연습할 문제집 하나만 추쳔해주실 수 있으실까요?,혹시 기출 외에 국어 연습할 문제집 하나만 추천해 주실 수 있으실까요?,,
달러화과잉 공급이라는문재를해결하기위한방법은 무엇인가?,달러화 과잉 공급이라는 문제를 해결하기 위한 방법은 무엇인가?,,
호옥시 무슨뜻인가요.,혹시 무슨 뜻인가요.,,
요즘 아침에 너므 졸리더라구요,요즘 아침에 너무 졸리더라고요.,,
"배가 철수를 떠받치는힘의 크기는 철수가 배를 누르는힘의 크기와 같으니까, 철수에작용하는중력의 크기는 아니지안나요?","배가 철수를 떠받치는 힘의 크기는 철수가 배를 누르는 힘의 크기와 같으니까, 철수에 작용하는 중력의 크기는 아니지 않나요?",,
아니면시간을 넘무마니 잡아먹나요?,아니면 시간을 너무 많이 잡아먹나요?,,
작년에 미적쫌 해놓을걸,작년에 미적 좀 해놓을걸.,,
독재학원과 단과수업으로 재수중이에요,독재 학원과 단과 수업으로 재수 중이에요.,,
만약 있따면이런선지가나오면 당과 원을어떻케 구분하나요?,만약 있다면 이런 선지가 나오면 당과 원을 어떻게 구분하나요?,,
그 이후에 풀어줬다던지 최형이 도움을 주엇다던지 이런 내용이 없으니 옥에 가둔게 합당한 형벌이 될 수 있지 안나요?,그 이후에 풀어줬다든지 최형이 도움을 주었다든지 이런 내용이 없으니 옥에 가둔 게 합당한 형벌이 될 수 있지 않나요?,,
저게 어케 보면 되게 당연한건데요,저게 어떻게 보면 되게 당연한 건데요.,,
그건 맞는 말이지만 그 소문이 당사자에게 피해가 갈 만한 종류가 아니니 일크게 키울필요가 없다가 결론이지요...,그건 맞는 말이지만 그 소문이 당사자에게 피해가 갈 만한 종류가 아니니 일 크게 키울 필요가 없다가 결론이지요...,,
즐길거리두 하나두 없다.,즐길 거리도 하나도 없다.,,
공간의 변화를 서술하여 제시한다는선지가 맞는이유가몬가요,공간의 변화를 서술하여 제시한다는 선지가 맞는 이유가 뭔가요?,,
나란여자 인생 재미없게 사는 여자에요.,나란 여자 인생 재미없게 사는 여자예요.,,
지수함수저 로그함수 그래프 믄재는그 그래프를 정확하게 그리는거이 매우 중요함니다.,지수함수나 로그함수 그래프 문제는 그 그래프를 정확하게 그리는 것이 매우 중요합니다.,,
밑변이같은지 어떻케아나요.,밑변이 같은지 어떻게 아나요.,,
이재모의고사만 게속 풀어보셔도될것갗다.,이제 모의고사만 계속 풀어보셔도 될 것 같다.,,
역대 최악으로 안조은데 주식시장만 오르니가요,역대 최악으로 안 좋은데 주식시장만 오르니까요.,,
올바르다하드라도이러케 출제될 가능성은 없는건가요?,올바르다 하더라도 이렇게 출제될 가능성은 없는 건가요?,,
생명 연장에따라 노인층이 늘어나겠군요.,생명 연장에 따라 노인층이 늘어나겠군요.,,
진짜 간절하시다면 기숙학언을정밀 추천드려요,진짜 간절하시다면 기숙 학원을 정말 추천드려요.,,
언래 본용언과 딴 단어 취급을하저요,원래 본용언과 다른 단어 취급을 하나요?,,
정성스런 댓글달아주셔서 정밀감사해요,정성스러운 댓글 달아주셔서 정말 감사해요.,,
그래서 저는다음과 같이해석하였씁니다.,그래서 저는 다음과 같이 해석하였습니다.,,
실제로 지원햇다면 붙었을지는 모르겠네요,실제로 지원했다면 붙었을지는 모르겠네요.,,
네가거기서배웠던 가설 카테고리를 쓸수있을가!,네가 거기서 배웠던 가설 카테고리를 쓸 수 있을까!,,
그래서 남자들보다 여자들이 진급두 늦어지구 안좋은 상황에 쳐한대,그래서 남자들보다 여자들이 진급도 늦어지고 안 좋은 상황에 처한대.,,
목표이루셔서 저희학과 오시면 누그든 환영해드릴게요,목표 이루셔서 저희 학과 오시면 누구든 환영해 드릴게요.,,
다음지구과학칼럼은 외부은하에 관한걸루 올려주실수있나요?,다음 지구과학칼럼은 외부은하에 관한 걸로 올려주실 수 있나요?,,
이 믄쟝에서 순환 하는것 아닌가요?,이 문장에서 순환하는 것 아닌가요?,,
둘다 일어난상황이있다구...,둘 다 일어나는 상황이 있다고...,,
교육방송 문제집은 안해도 문제없다 장담해주시는건가요?,교육방송 문제집은 안 해도 문제없다 장담해 주시는 건가요?,,
그러면 저장의이유를 밝히는 절에서 동사가나와야하지앉나요?,그러면 저장의 이유를 밝히는 절에서 동사가 나와야 하지 않나요?,,
어디까지 증명을해야 가설의수용햇다고...,어디까지 증명을 해야 가설의 수용했다고...,,
올리지 말란 얘기 아녜요,올리지 말란 얘기 아니에요.,,
어렵다기보단오랫마네 본시험이라 당황스러운느낌..?,어렵다기보단 오랜만에 본 시험이라 당황스러운 느낌..?,,
댓글 남겼던것 같은데 다시 와봤는데 안보이내요?,댓글 남겼던 것 같은데 다시 와봤는데 안 보이네요?,,
스능끗나고놀 생각에 행복회로가 돌아요.,수능 끝나고 놀 생각에 행복 회로가 돌아요.,,
믄재사이공간에다가 써서 개요도로 그려서 정리하구있늕데 시간이 조금 거려서 시간을 단축하구싶어서요...,문제 사이 공간에다가 써서 개요도로 그려서 정리하고 있는데 시간이 조금 걸려서 시간을 단축하고 싶어서요...,,
좀 섞여잇다하지안았음?,좀 섞여있다 하지 않았음?,,
공부법을 모르교있으면 문제가 큰듯 해요,공부법을 모르고 있으면 문제가 큰듯해요.,,
의사 순서가어떡게되니,의사 순서가 어떻게 되니?,,
이틀정두체화하구 시험보러갔다.,이틀 정도 체화하고 시험 보러 갔다.,,
재도적 수단을 재공한다는거의 대표적인 예가뭐가잇나요?,제도적 수단을 제공한다는 것의 대표적인 예가 뭐가 있나요?,,
숙사 생활할때는 되게 규칙적으로 살았어요,기숙사 생활할 때는 되게 규칙적으로 살았어요.,,
공부계획을 세워저갈지 조언부탁드립니다.,공부 계획을 세워나갈지 조언 부탁드립니다.,,
불교는 세상밖 가르침을 전하고 유학은세속에서익혀야할 학문이라구하는대 그 차이가 정확히 무엇인가요?,불교는 세상 밖 가르침을 전하고 유학은 세속에서 익혀야 할 학문이라고 하는데 그 차이가 정확히 무엇인가요?,,
저도 고민하다가 그래도 이게 가장 진실성 있을 것 가타서 그냥 저질러 버렸네요,저도 고민하다가 그래도 이게 가장 진실성 있을 것 같아서 그냥 저질러 버렸네요.,,
"말하구, 수식어역할이다!","말하고, 수식어 역할이다!",,
그냥 개념만 한번 보고 문제풀면서 헷갈린다.,그냥 개념만 한번 보고 문제 풀면서 헷갈린다.,,
얘전에전문적으로햇던종목 없으면보통 농구 마니 함니다.,예전에 전문적으로 했던 종목 없으면 보통 농구 많이 합니다.,,
아니면시작해강이를 다듣구 괜찮아 강이를들으면좋을까요?,아니면 시작해 강의를 다 듣고 괜찮아 강의를 들으면 좋을까요?,,
그리고 기숙학원은 감독선생님들이 깨우러 들어오시는데 그게 다른 친구들을 방해할까봐 부끄러워서 못 자겠더라구요,그리고 기숙 학원은 감독 선생님들이 깨우러 들어오시는데 그게 다른 친구들을 방해할까 봐 부끄러워서 못 자겠더라고요.,,
교재 언재부터 구매할수잇을까요.,교재 언제부터 구매할 수 있을까요.,,
